product_id,product_position,promotion,seasonal,sales_volume,sku,name,price,scraped_at,product_category,operational_profit
191230,End-cap,No,No,966,311287528-811-2,PATCH BOMBER JACKET,90,22/02/2023 00:00,jackets,10.73
187234,Front of Store,Yes,Yes,2575,342657802-914-2,STRETCH POCKET OVERSHIRT,60,24/02/2023 00:00,jackets,42.92
148888,Front of Store,No,No,2774,316207898-712-2,RIB COLLAR JACKET,109,26/02/2023 00:00,jackets,25.45
110805,Front of Store,Yes,No,2477,321496761-800-2,FAUX LEATHER OVERSIZED JACKET LIMITED EDITION,159,28/02/2023 00:00,jackets,15.58
179801,Front of Store,No,Yes,2608,311307255-800-2,CONTRASTING PATCHES BOMBER JACKET,129,02/03/2023 00:00,jackets,20.22
134927,Aisle,Yes,Yes,2252,317129011-500-2,PATCH BOMBER JACKET,129,04/03/2023 00:00,jackets,17.46
123150,End-cap,Yes,No,2074,330274270-800-2,CROPPED BOMBER JACKET LIMITED EDITION,129,06/03/2023 00:00,jackets,16.08
159145,End-cap,Yes,No,2579,311297855-800-2,FAUX LEATHER PUFFER JACKET,109,08/03/2023 00:00,jackets,23.66
172364,Aisle,Yes,No,2931,317782474-800-2,FAUX LEATHER BOMBER JACKET,109,10/03/2023 00:00,jackets,26.89
178281,End-cap,No,Yes,1145,315758723-401-2,BOMBER JACKET,109,12/03/2023 00:00,jackets,10.50
194339,End-cap,No,No,1792,311302863-800-2,FAUX SUEDE JACKET,90,14/03/2023 00:00,jackets,19.91
174412,Aisle,No,Yes,1796,311282759-806-2,FAUX SUEDE BOMBER JACKET,70,16/03/2023 00:00,jackets,25.66
114877,Aisle,No,No,1860,323134415-700-3,SUEDE JACKET,349,18/03/2023 00:00,jackets,5.33
140727,End-cap,Yes,Yes,1002,312372582-526-2,CONTRASTING COLLAR JACKET,80,20/03/2023 00:00,jackets,12.53
133109,Front of Store,No,Yes,2063,321143726-712-2,TEXTURED JACKET,80,22/03/2023 00:00,jackets,25.79
127296,Aisle,No,No,1165,320220949-507-2,CROPPED TEXTURED JACKET,90,24/03/2023 00:00,jackets,12.94
133757,Aisle,Yes,No,2071,312664937-514-2,POCKET PUFFER JACKET,129,26/03/2023 00:00,jackets,16.05
111760,End-cap,No,No,1474,321143723-401-2,TECHNICAL JACKET WITH POCKETS,109,28/03/2023 00:00,jackets,13.52
198375,End-cap,No,No,2202,311297763-800-2,FAUX LEATHER JACKET,70,30/03/2023 00:00,jackets,31.46
168837,Aisle,No,No,665,311292194-731-2,FAUX SUEDE JACKET,90,01/04/2023 00:00,jackets,7.39
138505,Front of Store,No,No,2478,335663355-406-2,RIPPED DENIM JACKET,70,03/04/2023 00:00,jackets,35.40
116228,End-cap,Yes,No,647,312363708-800-2,TEXTURED POCKET JACKET,90,05/04/2023 00:00,jackets,7.19
167592,Front of Store,Yes,No,707,312320664-251-2,FAUX SUEDE PATCH JACKET,90,07/04/2023 00:00,jackets,7.86
133100,End-cap,Yes,No,2729,311302445-445-97,PUFFER JACKET WITH POUCH POCKET,90,09/04/2023 00:00,jackets,30.32
119955,Front of Store,No,No,1590,323216370-422-97,BOMBER JACKET,90,11/04/2023 00:00,jackets,17.67
189349,End-cap,Yes,No,1245,317107014-707-2,TEXTURED WEAVE OVERSHIRT,90,13/04/2023 00:00,jackets,13.83
127478,Front of Store,No,Yes,2498,328594167-800-46,STRAIGHT SUIT JACKET,129,15/04/2023 00:00,jackets,19.36
180661,Front of Store,No,Yes,1041,311309598-711-2,HOODED QUILTED JACKET,129,17/04/2023 00:00,jackets,8.07
186681,End-cap,No,Yes,1717,267133943-711-2,LIGHTWEIGHT PUFFER JACKET,20,19/04/2023 00:00,jackets,85.85
133183,Front of Store,Yes,Yes,2859,318265017-401-2,COTTON BLEND BOMBER JACKET,90,21/04/2023 00:00,jackets,31.77
173508,Aisle,Yes,No,1658,322410604-401-2,POCKET JACKET,129,23/04/2023 00:00,jackets,12.85
187930,End-cap,No,Yes,706,324149982-982-2,OVERSIZED BOMBER JACKET,90,25/04/2023 00:00,jackets,7.84
124088,End-cap,Yes,Yes,2065,320531693-707-2,EMBROIDERED PATCH JACKET,80,27/04/2023 00:00,jackets,25.81
190238,Front of Store,No,Yes,1917,328279967-409-3,ACID WASH DENIM JACKET,90,29/04/2023 00:00,jackets,21.30
151925,End-cap,Yes,Yes,2179,320774184-800-97,VINTAGE EFFECT LEATHER BOMBER JACKET,299,01/05/2023 00:00,jackets,7.29
163234,Front of Store,No,No,1633,322972491-800-2,TEXTURED DENIM JACKET LIMITED EDITION,90,03/05/2023 00:00,jackets,18.14
135610,Aisle,Yes,Yes,1513,321501682-800-2,WOOL BLEND JACKET,109,05/05/2023 00:00,jackets,13.88
117065,Aisle,Yes,Yes,758,328616906-712-2,COTTON - LINEN BLEND JACKET,109,07/05/2023 00:00,jackets,6.95
149315,End-cap,Yes,No,718,311292541-802-2,FLEECE BOMBER JACKET,109,09/05/2023 00:00,jackets,6.59
149510,Aisle,No,Yes,1412,319205114-807-2,ZIPPERED JACKET,60,11/05/2023 00:00,jackets,23.53
137990,Aisle,No,No,2929,276213846-500-2,COTTON JACKET,30,13/05/2023 00:00,jackets,97.63
154016,End-cap,Yes,Yes,2366,328244979-064-48,WOOL BLEND TEXTURED JACKET,189,15/05/2023 00:00,jackets,12.52
117751,Aisle,No,No,2749,323050745-798-97,CONTRAST JACQUARD JACKET,90,17/05/2023 00:00,jackets,30.54
182362,Front of Store,No,No,2019,319166635-401-2,CROPPED OVERSHIRT,70,19/05/2023 00:00,jackets,28.84
117725,Aisle,No,Yes,1506,311297489-800-2,CONTRASTING PATCHES HOODED JACKET,109,21/05/2023 00:00,jackets,13.82
145289,End-cap,No,No,1012,311292073-709-2,UTILITY POCKET JACKET,109,23/05/2023 00:00,jackets,9.28
173576,End-cap,Yes,No,1838,336378923-700-2,,129,25/05/2023 00:00,jackets,14.25
175059,Aisle,Yes,No,2170,311292572-401-2,LIGHTWEIGHT BOMBER JACKET,50,27/05/2023 00:00,jackets,43.40
199368,Front of Store,No,Yes,1061,336821611-706-2,WOOL BLEND JACKET,139,29/05/2023 00:00,jackets,7.63
162883,Front of Store,Yes,No,786,311307584-518-2,TECHNICAL PADDED JACKET,139,31/05/2023 00:00,jackets,5.65
135490,Front of Store,No,No,1094,321151893-609-2,MIXED COLLAR WAXED JACKET,139,02/06/2023 00:00,jackets,7.87
125408,End-cap,Yes,Yes,2220,311297509-800-2,CONTRASTING PATCHES BOMBER JACKET,90,04/06/2023 00:00,jackets,24.67
134763,Front of Store,No,Yes,2048,315947178-800-2,PADDED BOMBER JACKET,90,06/06/2023 00:00,jackets,22.76
143231,Aisle,No,No,2578,311297745-800-2,TECHNICAL PADDED JACKET,90,08/06/2023 00:00,jackets,28.64
125409,End-cap,Yes,No,2040,330290360-427-3,POCKET DENIM JACKET,90,10/06/2023 00:00,jackets,22.67
183074,Aisle,No,No,2791,320449897-427-2,BOXY FIT DENIM JACKET,90,12/06/2023 00:00,jackets,31.01
147947,Aisle,Yes,Yes,1249,311297724-700-97,FAUX SHEARLING PLAID JACKET,90,14/06/2023 00:00,jackets,13.88
174171,Front of Store,Yes,Yes,2273,328332050-700-97,EMBROIDERED FOREST JACKET,90,16/06/2023 00:00,jackets,25.26
183064,Front of Store,Yes,No,1773,311282469-505-2,POCKET OVERSHIRT,90,18/06/2023 00:00,jackets,19.70
177131,Aisle,Yes,Yes,1733,319502128-515-2,BOUCLE TEXTURED VEST,70,20/06/2023 00:00,jackets,24.76
128179,End-cap,Yes,No,2060,311287226-472-2,COLOR BLOCK PUFFER JACKET,90,22/06/2023 00:00,jackets,22.89
152723,Aisle,No,Yes,2849,316683359-818-2,LONGLINE QUILTED JACKET,169,24/06/2023 00:00,jackets,16.86
123824,Aisle,Yes,No,2277,322901350-800-46,WOOL BLEND SUIT JACKET,169,26/06/2023 00:00,jackets,13.47
166345,Aisle,No,Yes,1135,322929313-802-97,HOODED KNIT CARDIGAN,70,28/06/2023 00:00,jackets,16.21
199279,Aisle,No,No,1770,267186163-643-2,HOODED TECHNICAL JACKET,20,30/06/2023 00:00,jackets,88.50
167981,End-cap,No,No,730,329706743-401-46,HOUNDSTOOTH SUIT JACKET,139,02/07/2023 00:00,jackets,5.25
146839,Aisle,No,No,1525,321496813-710-2,BOMBER JACKET,109,04/07/2023 00:00,jackets,13.99
187180,Front of Store,No,Yes,647,312596416-800-2,HOODED TECHNICAL JACKET,109,06/07/2023 00:00,jackets,5.94
167640,End-cap,Yes,Yes,1017,311287132-251-2,HOODED TECHNICAL JACKET,109,08/07/2023 00:00,jackets,9.33
165158,Front of Store,No,No,1622,323675323-700-2,WASHED EFFECT BOMBER JACKET,109,10/07/2023 00:00,jackets,14.88
111521,Front of Store,Yes,Yes,2553,323672371-507-2,WASHED TECHNICAL JACKET,100,12/07/2023 00:00,jackets,25.53
120228,End-cap,No,No,2347,327116625-505-2,100% FEATHER FILL PUFFER JACKET,90,14/07/2023 00:00,jackets,26.08
133078,Aisle,No,Yes,2535,311302424-409-2,PADDED BOMBER JACKET,70,16/07/2023 00:00,jackets,36.21
137598,Aisle,No,Yes,2839,329158644-605-2,POCKET JACKET,139,18/07/2023 00:00,jackets,20.42
138779,Front of Store,Yes,Yes,2801,329300083-705-48,SLIM FIT SUIT JACKET,139,20/07/2023 00:00,jackets,20.15
198329,Front of Store,Yes,Yes,628,323212374-510-2,MIXED COLLAR JACKET,109,22/07/2023 00:00,jackets,5.76
110295,End-cap,Yes,No,1448,322547863-811-2,HOODED DENIM JACKET,129,24/07/2023 00:00,jackets,11.22
196427,Aisle,Yes,No,1401,320600266-745-2,WAXED EFFECT PLAID JACKET,169,26/07/2023 00:00,jackets,8.29
110075,Front of Store,Yes,Yes,2185,320771732-800-2,WOOL BLEND FELT TEXTURE JACKET,159,28/07/2023 00:00,jackets,13.74
132322,Front of Store,Yes,No,2135,289179723-020-2,PRINTED DENIM OVERSHIRT,13,30/07/2023 00:00,jackets,164.23
199631,Front of Store,Yes,No,1269,327747299-800-2,STRUCTURED TWILL OVERSHIRT,90,01/08/2023 00:00,jackets,14.10
182306,Front of Store,No,No,2805,317782501-701-2,COTTON OVERSHIRT,90,03/08/2023 00:00,jackets,31.17
194915,Aisle,Yes,No,1796,311282298-099-2,REVERSIBLE PLAID OVERSHIRT,80,05/08/2023 00:00,jackets,22.45
131298,End-cap,Yes,No,2133,322612356-505-2,PLAID OVERSHIRT,70,07/08/2023 00:00,jackets,30.47
168571,Aisle,No,No,1778,311282631-712-2,POCKET OVERSHIRT,90,09/08/2023 00:00,jackets,19.76
154224,End-cap,Yes,No,2474,329282612-401-2,100% LINEN OVERSHIRT,90,11/08/2023 00:00,jackets,27.49
171061,Aisle,No,Yes,2032,320026789-714-2,PLAID OVERSHIRT,60,13/08/2023 00:00,jackets,33.87
119049,Aisle,No,Yes,1659,323216360-406-2,POCKET DENIM OVERSHIRT,90,15/08/2023 00:00,jackets,18.43
158781,End-cap,Yes,Yes,2443,318209963-800-2,FAUX SUEDE OVERSHIRT,70,17/08/2023 00:00,jackets,34.90
151438,Aisle,No,Yes,1137,316727555-700-2,PLAID OVERSHIRT,70,19/08/2023 00:00,jackets,16.24
152871,End-cap,No,Yes,1847,312571093-710-2,TEXTURED POCKET OVERSHIRT,70,21/08/2023 00:00,jackets,26.39
126806,End-cap,Yes,Yes,2404,330290387-401-2,POCKET OVERSHIRT,109,23/08/2023 00:00,jackets,22.06
134104,End-cap,No,Yes,1466,313027279-800-2,OVERSHIRT,60,25/08/2023 00:00,jackets,24.43
120266,Front of Store,No,No,2328,320671529-802-2,PLAID OVERSHIRT,60,27/08/2023 00:00,jackets,38.80
173550,End-cap,No,Yes,1431,323646471-802-2,POCKET OVERSHIRT,60,29/08/2023 00:00,jackets,23.85
175927,End-cap,No,Yes,1506,312978838-611-2,ZIPPERED WOOL BLEND OVERSHIRT,109,31/08/2023 00:00,jackets,13.82
154278,End-cap,No,Yes,2749,336446858-822-2,GEOMETRIC JACQUARD OVERSHIRT,90,02/09/2023 00:00,jackets,30.54
183537,Front of Store,Yes,Yes,2434,281883711-071-2,PAINT PRINT OVERSHIRT,20,04/09/2023 00:00,jackets,121.70
150424,Front of Store,No,Yes,2067,313008692-514-2,PADDED CORDUROY OVERSHIRT,80,06/09/2023 00:00,jackets,25.84
183825,Aisle,Yes,Yes,2989,281593208-015-2,PLAID TIE DYE OVERSHIRT,20,08/09/2023 00:00,jackets,149.45
144012,Front of Store,Yes,No,743,314937772-710-2,OVERSHIRT WITH CONTRASTING TOPSTITCHING,60,10/09/2023 00:00,jackets,12.38
147051,Front of Store,No,No,2325,320278659-251-2,QUILTED STRUCTURED OVERSHIRT,109,12/09/2023 00:00,jackets,21.33
185800,End-cap,No,Yes,1841,321993245-500-2,TECHNICAL OVERSHIRT,109,14/09/2023 00:00,jackets,16.89
197524,Aisle,Yes,Yes,2231,330590505-500-2,PLAID OVERSHIRT,50,16/09/2023 00:00,jackets,44.62
123230,Aisle,No,Yes,880,324027512-064-2,STRIPED TEXTURED OVERSHIRT,70,24/01/2024 00:00,jackets,12.57
154676,Aisle,No,No,943,311292623-712-97,FLEECE OVERSHIRT,70,26/01/2024 00:00,jackets,13.47
152985,Aisle,Yes,Yes,1049,319162032-064-2,PLAID OVERSHIRT,90,28/01/2024,jackets,11.66
175584,Front of Store,No,No,2084,324908098-800-38,BAGGY FIT JEANS LIMITED EDITION,70,30/01/2024 00:00,jeans,29.77
147491,End-cap,No,No,1563,326540983-802-36,BAGGY BELTED JEANS,60,01/02/2024 00:00,jeans,26.05
198283,End-cap,Yes,Yes,1558,315836999-406-34,BAGGY FIT JEANS,70,03/02/2024 00:00,jeans,22.26
141547,End-cap,No,No,1426,315738965-802-34,BAGGY FIT JEANS,70,05/02/2024 00:00,jeans,20.37
156342,Front of Store,Yes,Yes,1466,311287318-400-38,FLARED FIT CARGO JEANS,109,07/02/2024 00:00,jeans,13.45
186083,End-cap,No,Yes,624,312393140-406-2,PLEATED WIDE FIT JEANS,50,09/02/2024 00:00,jeans,12.48
171776,Aisle,Yes,No,1685,275600408-400-2,DENIM SHIRT,13,11/02/2024 00:00,jeans,129.62
134429,Aisle,No,No,2914,311303003-407-38,RIPPED STRAIGHT FIT JEANS,70,13/02/2024 00:00,jeans,41.63
148823,Aisle,No,Yes,2211,320680326-107-39,SUEDE FISHERMAN SANDALS,90,18/09/2023 00:00,shoes,24.57
114550,End-cap,No,No,2114,311292244-800-39,ZIPPER MULTIPIECE SNEAKERS,70,20/09/2023 00:00,shoes,30.20
125398,Aisle,Yes,Yes,1350,311307610-400-39,SUEDE LACELESS SNEAKERS,70,22/09/2023 00:00,shoes,19.29
123985,End-cap,No,No,2240,311302877-203-39,MULTICOLOR SNEAKERS,70,24/09/2023 00:00,shoes,32.00
186638,End-cap,Yes,No,1296,311302598-500-39,RETRO RUNNING SNEAKERS,60,26/09/2023 00:00,shoes,21.60
167281,End-cap,Yes,Yes,892,311297328-800-39,SUEDE HIGH-TOPS,60,28/09/2023 00:00,shoes,14.87
118578,End-cap,No,Yes,1678,311302865-804-39,SUEDE STRAP SANDALS,50,30/09/2023 00:00,shoes,33.56
174041,End-cap,No,No,2016,311307489-203-39,MULTIPIECE SNEAKERS,50,02/10/2023 00:00,shoes,40.32
127644,Front of Store,No,Yes,1498,311287075-120-39,TOPSTITCH SNEAKERS,46,04/10/2023 00:00,shoes,32.57
132007,Aisle,No,Yes,2491,276378605-515-39,RETRO SNEAKERS,10,06/10/2023 00:00,shoes,249.10
147998,Aisle,No,No,2556,277776476-700-39,RETRO HIGH TOP SNEAKERS,10,08/10/2023 00:00,shoes,255.60
176666,Aisle,Yes,No,2852,313381662-202-39,MULTI-PIECED RETRO SNEAKERS,46,10/10/2023 00:00,shoes,62.00
193686,Aisle,Yes,No,1899,311292343-700-39,TASSEL LEATHER LOAFERS,100,12/10/2023 00:00,shoes,18.99
163610,Front of Store,Yes,No,2466,311309627-805-39,MOC-TOE SUEDE BOOTS,90,14/10/2023 00:00,shoes,27.40
170364,Aisle,No,No,818,315851805-800-39,STRAP SANDALS,46,16/10/2023 00:00,shoes,17.78
167599,Aisle,No,No,1500,311292644-400-39,SUEDE RETRO SNEAKERS,60,18/10/2023 00:00,shoes,25.00
166421,End-cap,Yes,No,2878,311302552-800-39,HIKING BOOTS,80,20/10/2023 00:00,shoes,35.98
129247,Front of Store,Yes,No,2386,311302532-102-39,SUEDE SNEAKERS,70,22/10/2023 00:00,shoes,34.09
127314,End-cap,Yes,Yes,2076,311287147-723-39,FAUX SHEARLING LINED SUEDE BOOTS,100,24/10/2023 00:00,shoes,20.76
111979,Front of Store,No,No,2734,311307332-202-39,CHUNKY SNEAKERS,60,26/10/2023 00:00,shoes,45.57
120354,Aisle,Yes,No,2836,311282293-131-39,DOUBLE STRAP SUEDE SANDALS,60,28/10/2023 00:00,shoes,47.27
144848,Front of Store,No,No,2193,311287149-800-39,CHUNKY SOLE CANVAS LACE-UP BOOTS,90,30/10/2023 00:00,shoes,24.37
111957,Aisle,Yes,No,2164,311307624-500-39,SUEDE PENNY LOAFERS,90,01/11/2023 00:00,shoes,24.04
160763,Front of Store,Yes,Yes,991,311282212-800-39,ADHERENT STRIPES SNEAKERS,46,03/11/2023 00:00,shoes,21.54
168270,End-cap,Yes,Yes,1525,311292281-203-39,MULTIPIECE SNEAKERS,70,05/11/2023 00:00,shoes,21.79
195082,Front of Store,No,No,923,311302515-800-39,CHUNKY SOLE HIGH TOP SNEAKERS,70,07/11/2023 00:00,shoes,13.19
110329,Front of Store,No,Yes,2397,314937773-800-39,CONTRAST SOLE LEATHER SNEAKERS,70,09/11/2023 00:00,shoes,34.24
147449,End-cap,No,No,1191,316608794-802-39,SUEDE RUNNING SNEAKERS,70,11/11/2023 00:00,shoes,17.01
193332,Aisle,Yes,No,1237,319205037-800-39,WOVEN LEATHER SLIDES,50,13/11/2023 00:00,shoes,24.74
146804,Aisle,Yes,No,1504,311307495-131-39,SUEDE SNEAKERS,70,15/11/2023 00:00,shoes,21.49
188909,Aisle,Yes,Yes,2863,336449731-712-1,ASYMMETRIC CROPPED KNIT SWEATER,40,17/11/2023 00:00,sweaters,71.58
165910,End-cap,Yes,No,2760,313890651-712-2,KNIT SWEATER WITH PEARLS,70,19/11/2023 00:00,sweaters,39.43
136738,Front of Store,No,Yes,542,287414911-803-2,HIGH COLLAR KNIT SWEATER,8,21/11/2023 00:00,sweaters,67.75
144497,End-cap,Yes,Yes,1105,342171615-104-2,STRIPED KNIT SWEATER,50,23/11/2023 00:00,sweaters,22.10
135036,End-cap,Yes,No,1435,314152967-485-2,CABLE KNIT METALLIC SWEATER,50,25/11/2023 00:00,sweaters,28.70
166331,Aisle,Yes,Yes,2877,324186867-642-2,ASYMMETRICAL WOOL AND SILK BLEND SWEATER,60,27/11/2023 00:00,sweaters,47.95
139789,Aisle,No,Yes,1094,316900618-809-2,WOOL AND CASHMERE BLEND RIB SWEATER,70,29/11/2023 00:00,sweaters,15.63
118569,Aisle,No,Yes,994,313890645-330-2,ALPACA AND WOOL BLEND TIE DYE KNIT SWEATER,50,01/12/2023 00:00,sweaters,19.88
155848,End-cap,Yes,No,1942,324597432-800-2,MOCK NECK WOOL AND SILK BLEND KNIT TOP,50,03/12/2023 00:00,sweaters,38.84
152563,Front of Store,No,Yes,2572,313890686-731-2,CASHMERE BLEND KNIT SWEATER,169,05/12/2023 00:00,sweaters,15.22
115153,Aisle,No,No,1736,313890650-712-2,ALPACA BLEND OPEN KNIT SWEATER,80,07/12/2023 00:00,sweaters,21.70
125938,Aisle,Yes,Yes,1204,313890680-450-2,OVERSIZED KNIT SWEATER,50,09/12/2023 00:00,sweaters,24.08
122809,End-cap,No,Yes,1592,344575855-982-2,WOOL BLEND KNIT SWEATER,50,11/12/2023 00:00,sweaters,31.84
181502,Front of Store,Yes,No,2591,323175653-803-2,SOFT JEWEL SWEATER,40,13/12/2023 00:00,sweaters,64.78
182779,End-cap,Yes,Yes,2097,324814227-400-2,FAUX FUR JEWEL SWEATER,36,15/12/2023 00:00,sweaters,58.25
155674,Front of Store,No,No,897,323218942-800-2,METAL BEAD KNIT SWEATER,50,17/12/2023 00:00,sweaters,17.94
182866,Aisle,No,Yes,1552,313890656-800-2,KNIT SWEATER WITH BUTTONS,40,19/12/2023 00:00,sweaters,38.80
148230,Front of Store,Yes,No,2494,321480271-802-2,JEWEL KNIT SWEATER,60,21/12/2023 00:00,sweaters,41.57
126979,Front of Store,No,No,2141,311297787-806-1,KNIT SWEATER WITH PIPING,50,23/12/2023 00:00,sweaters,42.82
135521,End-cap,No,Yes,2835,322677494-446-1,FINE KNIT CROP SWEATER,40,25/12/2023 00:00,sweaters,70.88
185809,End-cap,No,No,622,313890688-330-1,KNIT SWEATER WITH RIPS,50,27/12/2023 00:00,sweaters,12.44
171520,End-cap,Yes,Yes,2901,322451460-800-1,GATHERED WAIST KNIT SWEATER,48,29/12/2023 00:00,sweaters,60.44
122926,End-cap,No,No,867,319465261-800-2,KNIT V-NECK SWEATER,46,31/12/2023 00:00,sweaters,18.85
150953,Front of Store,Yes,Yes,2434,317331009-312-2,BASIC FOIL KNIT SWEATER,36,02/01/2024 00:00,sweaters,67.61
115873,End-cap,Yes,Yes,2606,311297400-803-1,CONTRAST TOPSTITCHING CROP KNIT SWEATER,60,04/01/2024 00:00,sweaters,43.43
115581,Aisle,No,Yes,2728,336449779-104-1,STRIPED CROP KNIT SWEATER,48,06/01/2024 00:00,sweaters,56.83
183634,Front of Store,Yes,Yes,2778,324593343-043-2,BASIC KNIT SWEATER,28,08/01/2024 00:00,sweaters,99.21
122484,Aisle,Yes,Yes,558,319473750-809-1,V-NECK KNIT SWEATER,48,10/01/2024 00:00,sweaters,11.63
183574,Aisle,Yes,Yes,1752,331789902-808-1,FOIL KNIT CROP SWEATER,48,12/01/2024 00:00,sweaters,36.50
185307,Front of Store,No,Yes,2743,300250126-401-2,BASIC 100% WOOL SWEATER,8,14/01/2024 00:00,sweaters,342.88
118719,End-cap,No,Yes,1669,320052978-401-2,COLORBLOCK KNIT CROP SWEATER,46,16/01/2024 00:00,sweaters,36.28
134788,Front of Store,No,No,2179,324722597-400-2,FINE KNIT SWEATER,46,18/01/2024 00:00,sweaters,47.37
140142,Front of Store,Yes,No,606,328207551-500-2,KNIT OPEN BACK PEARLY SWEATER,50,20/01/2024 00:00,sweaters,12.12
153997,End-cap,No,Yes,1608,318131967-800-2,KNIT PEARL SWEATER,46,22/01/2024 00:00,sweaters,34.96
172816,Aisle,No,Yes,1524,311307250-710-3,TEXTURED SWEATER,70,15/02/2024 00:00,sweaters,21.77
136272,End-cap,No,Yes,2887,267195405-500-3,PURL KNIT SWEATER,13,17/02/2024 00:00,sweaters,222.08
193227,End-cap,Yes,Yes,1778,317894313-707-3,BRAIDED COLOR BLOCK SWEATER,70,19/02/2024 00:00,sweaters,25.40
165786,End-cap,No,Yes,1278,315075917-803-2,CONTRAST INTERIOR SWEATER,60,21/02/2024 00:00,sweaters,21.30
174708,Front of Store,No,Yes,529,317889153-700-3,ABSTRACT JACQUARD SWEATER,60,23/02/2024 00:00,sweaters,8.82
142257,Aisle,Yes,Yes,1180,315241755-800-2,BASIC SLIM FIT T-SHIRT,20,25/02/2024 00:00,t-shirts,59.00
126146,Aisle,No,No,2759,320326523-707-2,CROPPED WASHED T-SHIRT,40,27/02/2024 00:00,t-shirts,68.98
129134,Aisle,No,Yes,1831,316715458-250-2,BASIC HEAVYWEIGHT T-SHIRT,30,29/02/2024 00:00,t-shirts,61.03
